"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","djup","swept_area_km2","BALSE_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
1,42,22,2013,"G3_Övrigt_diverse","G_Diverse",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",11.0319718500555,11.5835704425583,"Diverse"
1,42,22,2013,"C8_Övrig metall","C_Metall",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",22.063943700111,55.7114578427805,"Metall"
1,42,22,2013,"E1_Glasburk","E_Glas",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",22.0639437001111,7.39142113953721,"Glas"
1,42,22,2013,"E2_Glasflaska","E_Glas",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",44.1278874002222,12.907407064565,"Glas"
1,42,22,2013,"C2_Burkar_metall (dryck)","C_Metall",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",11.0319718500555,0.220639437001111,"Metall"
1,42,22,2013,"D6_Övrig gummi","D_Gummi",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",11.0319718500555,0.154447605900778,"Gummi"
1,44,23,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.1762,18.8678,57.1665,18.8257,49,0.077062403388,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",116.788467583681,15.3122657498604,"Naturmaterial"
1,44,23,2013,"A2_Plastbit_stycke","A_Plast",57.1762,18.8678,57.1665,18.8257,49,0.077062403388,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",77.8589783891208,1.03811971185494,"Plast"
1,45,24,2013,"D6_Övrig gummi","D_Gummi",57.1915,18.8232,57.2122,18.8492,42,0.075424411248,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",13.258307005035,0.530332280201401,"Gummi"
1,45,24,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.1915,18.8232,57.2122,18.8492,42,0.075424411248,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",225.391219085595,2.78424447105735,"Naturmaterial"
1,45,24,2013,"C8_Övrig metall","C_Metall",57.1915,18.8232,57.2122,18.8492,42,0.075424411248,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",13.258307005035,331.457675125875,"Metall"
1,48,25,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.2017,19.0513,57.2252,19.0645,83,0.077916408902,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",115.508403516387,45.8183333948334,"Naturmaterial"
1,48,25,2013,"C4_Metallfat_oljefat","C_Metall",57.2017,19.0513,57.2252,19.0645,83,0.077916408902,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.8342670573763,52.6204949352428,"Metall"
1,48,25,2013,"A5_Duk","A_Plast",57.2017,19.0513,57.2252,19.0645,83,0.077916408902,"BAL-SE-AA-B_O_Gotlandshavet","SUP",12.8342670573763,3.85028011721289,"Plast"
1,48,25,2013,"C1_Konservburkar_metall (mat)","C_Metall",57.2017,19.0513,57.2252,19.0645,83,0.077916408902,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.8342670573763,0.385028011721289,"Metall"
1,48,25,2013,"D6_Övrig gummi","D_Gummi",57.2017,19.0513,57.2252,19.0645,83,0.077916408902,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",38.5028011721289,0.641713352868815,"Gummi"
1,49,26,2013,"E4_Övrigt glas","E_Glas",57.0382,17.8743,57.0628,17.8688,85,0.082795375878,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",36.2339076088082,5.14521488045077,"Glas"
1,49,26,2013,"E1_Glasburk","E_Glas",57.0382,17.8743,57.0628,17.8688,85,0.082795375878,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",36.2339076088082,10.0488703768428,"Glas"
1,49,26,2013,"C2_Burkar_metall (dryck)","C_Metall",57.0382,17.8743,57.0628,17.8688,85,0.082795375878,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",12.0779692029361,0.265715322464594,"Metall"
1,49,26,2013,"A2_Plastbit_stycke","A_Plast",57.0382,17.8743,57.0628,17.8688,85,0.082795375878,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",24.1559384058721,0.362339076088082,"Plast"
1,49,26,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.0382,17.8743,57.0628,17.8688,85,0.082795375878,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",120.779692029361,6.71535087683246,"Naturmaterial"
1,51,27,2013,"A3_Plastpåse","A_Plast",56.4758,18.692,56.4547,18.669,74,0.085482679149,"BAL-SE-AA-B_O_Gotlandshavet","SUP",23.396552610546,1.14643107791675,"Plast"
1,55,29,2013,"A2_Plastbit_stycke","A_Plast",56.327,18.4603,56.3472,18.4863,53,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",25.6800726992401,1.59216450735289,"Plast"
1,55,29,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",56.327,18.4603,56.3472,18.4863,53,0.077881399458,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",89.8802544473404,0.950162689871884,"Naturmaterial"
1,57,30,2013,"G1_Kläder_trasor","G_Diverse",56.3965,18.493,56.3757,18.4692,37,0.075227926371,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",13.2929358582652,2.12686973732243,"Diverse"
1,57,30,2013,"F3_Papper_kartong","F_Naturmaterial",56.3965,18.493,56.3757,18.4692,37,0.075227926371,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",79.7576151495912,4.78545690897547,"Naturmaterial"
1,57,30,2013,"A3_Plastpåse","A_Plast",56.3965,18.493,56.3757,18.4692,37,0.075227926371,"BAL-SE-AA-B_O_Gotlandshavet","SUP",13.2929358582652,0.265858717165304,"Plast"
1,58,31,2013,"A3_Plastpåse","A_Plast",56.2602,17.8907,56.2402,17.8642,44,0.080602311639,"BAL-SE-AA-B_O_Gotlandshavet","SUP",12.4065920649867,0.248131841299733,"Plast"
1,58,31,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",56.2602,17.8907,56.2402,17.8642,44,0.080602311639,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.4065920649867,0.248131841299733,"Naturmaterial"
