"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
3,83,27,2019,"A3_Plastpåse","A_Plast",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","SUP",16.0926594084771,0.579335738705176,"Plast"
3,85,28,2019,"A5_Monofilament","A_Plast",57.4145,8.5435,57.4275,8.5957,0.0659086731927595,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",45.5175298587193,0.0151725099529064,"Plast"
3,85,28,2019,"A2_Plastfilm","A_Plast",57.4145,8.5435,57.4275,8.5957,0.0659086731927595,"utanför ANSSE-area","Utanför ANSSE-area","SUP",15.1725099529064,0.227587649293596,"Plast"
3,87,29,2019,"A5_Monofilament","A_Plast",57.5012,8.8517,57.5132,8.8938,0.0552316989890287,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",199.160992715163,0.036211089584575,"Plast"
3,87,29,2019,"F3_Övrigt_diverse","F_Diverse",57.5012,8.8517,57.5132,8.8938,0.0552316989890287,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",18.1055447922875,0.108633268753725,"Diverse"
3,87,29,2019,"A3_Plastpåse","A_Plast",57.5012,8.8517,57.5132,8.8938,0.0552316989890287,"utanför ANSSE-area","Utanför ANSSE-area","SUP",36.211089584575,1.52086576255215,"Plast"
3,89,30,2019,"A2_Plastfilm","A_Plast",57.4872,9.0738,57.4872,9.131,0.0662741912285629,"utanför ANSSE-area","Utanför ANSSE-area","SUP",30.1776598540826,0.135799469343372,"Plast"
3,91,31,2019,"A6_Monofilament (härva)","A_Plast",57.6012,9.1402,57.5822,9.0935,0.0666543716360078,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.0027668921836,0.120022135137469,"Plast"
3,92,32,2019,"A6_Monofilament (härva)","A_Plast",57.6868,9.449,57.7115,9.4145,0.0655138697437078,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.2639434048398,3.92283345504382,"Plast"
3,95,33,2019,"A5_Monofilament","A_Plast",57.2172,12.0507,57.1873,12.0605,0.0658561773359827,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",121.476835182611,0.0303692087956529,"Plast"
3,95,33,2019,"A1_Plastflaska","A_Plast",57.2172,12.0507,57.1873,12.0605,0.0658561773359827,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","SUP",15.1846043978264,0.485907340730446,"Plast"
3,96,34,2019,"A5_Monofilament","A_Plast",57.0452,12.1945,57.0152,12.207,0.0677636570032744,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",14.7571728596596,0.0147571728596596,"Plast"
3,96,34,2019,"A6_Monofilament (härva)","A_Plast",57.0452,12.1945,57.0152,12.207,0.0677636570032744,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",14.7571728596596,0.0737858642982978,"Plast"
3,96,34,2019,"A2_Plastfilm","A_Plast",57.0452,12.1945,57.0152,12.207,0.0677636570032744,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","SUP",14.7571728596596,2.74483415189668,"Plast"
3,98,35,2019,"A2_Plastfilm","A_Plast",56.905,12.2602,56.878,12.2873,0.0647427631978115,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","SUP",15.4457417417396,0.0154457417417396,"Plast"
3,98,35,2019,"A5_Monofilament","A_Plast",56.905,12.2602,56.878,12.2873,0.0647427631978115,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",46.3372252252188,0.0154457417417396,"Plast"
3,98,35,2019,"F3_Övrigt_diverse","F_Diverse",56.905,12.2602,56.878,12.2873,0.0647427631978115,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","OTHER",15.4457417417396,0.0154457417417396,"Diverse"
1,1,1,2020,"N_Inget","N_Inget",57.1684,11.447,57.1483,11.4533,0.04592,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
1,2,2,2020,"C3_Bobbins ","C_Gummi",57.149,11.8565,57.1204,11.8405,0.0663,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",15.0829562594268,3.86123680241327,"Gummi"
1,3,3,2020,"N_Inget","N_Inget",56.9528,11.6622,56.927,11.6925,0.071568,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
1,4,4,2020,"A4_Plastlock","A_Plast",56.224,10.9607,56.2539,10.9721,0.06816,"utanför ANSSE-area","Utanför ANSSE-area","SUP",14.6713615023474,0.733568075117371,"Plast"
1,5,5,2020,"N_Inget","N_Inget",56.4507,11.0887,56.4815,11.0945,0.061668,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
1,6,6,2020,"N_Inget","N_Inget",56.5919,11.8199,56.6232,11.8308,0.06594,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
1,7,7,2020,"N_Inget","N_Inget",56.3521,11.8996,56.348,11.9558,0.07038,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
